title|introtext|created|modified
3-1-09 Heb 10 - A Warning|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0301-Heb10.mp3{/s5_mp3}<br />Title: A Warning<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/0301-Heb10.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 10:26-39<br />Preached by: Pastor Ken<br />|2009-03-01 06:00:00|2011-02-17 21:18:02
2-22-09 Heb 10:23-25|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0222-Heb10.mp3{/s5_mp3}<br />Title: Hebrews 10:23-25<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/0222-Heb10.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 10:23-25<br />Preached by: Pastor Ken<br />|2009-02-22 06:00:00|2011-02-17 21:25:11
2-15-09 Heb 10 - Wherefore Therefore|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0215-Heb10.mp3{/s5_mp3}<br />Title: Wherefore Therefore<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/0215-Heb10.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 10:19-23<br />Preached by: Pastor Ken<br />|2009-02-15 06:00:00|2011-02-17 21:23:51
2-8-09 Heb 10|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0208-Heb10.mp3{/s5_mp3}<br />Title: Hebrews 10<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2009/0208-Heb10.mp3">Download</a></span><br />Main Passage: Hebrews 10<br />Preached by: Pastor Ken<br />|2009-02-08 06:00:00|2011-02-17 21:27:25
2-1-09 Heb 9-10 Jesus, Our Eternal High Priest|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0201-Heb10.mp3{/s5_mp3}<br />Title: Jesus, Our Eternal High Priest<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/0201-Heb10.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 9-10<br />Preached by: Pastor Ken<br />|2009-02-01 06:00:00|2011-02-17 21:30:26
1-25-09 Heb 8|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0125-Heb8.mp3{/s5_mp3}<br />Title: Hebrews 8<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2009/0125-Heb8.mp3">Download</a></span><br />Main Passage: Hebrews 8<br />Preached by: Pastor Ken<br />|2009-01-25 06:00:00|2011-02-17 21:32:50
1-18-09 Heb 7|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0118-Heb7.mp3{/s5_mp3}<br />Title: Hebrews 7<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/0118-Heb7.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 7<br />Preached by: Pastor Ken<br />|2009-01-18 06:00:00|2011-02-17 21:34:47
1-11-09 Mark 8 - (Bro. Jim) A Question, A Statement and Conditions|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0111-Mark8.mp3{/s5_mp3}<br />Title: A Question, A Statement and Conditions<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2009/0111-Mark8.mp3">Download</a></span><br />Main Passage: Mark 8:27-38<br />Preached by: Pastor Jim Lancaster<br />|2009-01-11 06:00:00|2011-02-17 21:38:03
1-4-09 Heb 6 - Reproof, Warning, Exhortation, Encouragement|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/0104-Heb6.mp3{/s5_mp3}<br />Title: Reproof, Warning, Exhortation, Encouragement<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/0104-Heb6.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 6:13-20<br />Preached by: Pastor Ken<br />|2009-01-04 06:00:00|2011-02-17 21:40:57
11-30-08 Heb 6|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/1130-Heb6.mp3{/s5_mp3}<br />Title: Hebrews 6<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2008/1130-Heb6.mp3">Download</a></span><br />Main Passage: Hebrews 6<br />Preached by: Pastor Ken<br />|2008-11-30 06:00:00|2011-02-18 04:55:19
11-09-08 Heb 5|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/1109-Heb5.mp3{/s5_mp3}<br />Title: Hebrews 5<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2008/1109-Heb5.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 5<br />Preached by: Pastor Ken<br />|2008-11-09 06:00:00|2011-02-18 05:04:37
11-02-08 - Food For Thought|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/1102-Ken.mp3{/s5_mp3}<br />Title: Food For Thought<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2008/1102-Ken.mp3">Download</a></span><br />Main Passage: Various<br />Preached by: Pastor Ken<br />|2008-11-02 06:00:00|2011-02-18 05:07:26
10-26-08 Heb 4|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/1026-Heb4.mp3{/s5_mp3}<br />Title: Hebrews 4<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2008/1026-Heb4.mp3">Download</a></span><br />Main Passage: Hebrews 4<br />Preached by: Pastor Ken<br />|2008-10-26 06:00:00|2011-02-18 05:09:58
10-19-08 Heb 3|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/1019-Heb3.mp3{/s5_mp3}<br />Title: Hebrews 3<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2008/1019-Heb3.mp3">Download</a></span><br />Main Passage: Hebrews 3<br />Preached by: Pastor Ken<br />|2008-10-19 06:00:00|2011-02-18 05:11:44
10-12-08 Heb 2|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/1012-Heb2.mp3{/s5_mp3}<br />Title: Hebrews 2<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2008/1012-Heb2.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 2<br />Preached by: Pastor Ken<br />|2008-10-12 06:00:00|2011-02-18 05:14:33
10-05-08 Heb 1|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/1005-Heb1.mp3{/s5_mp3}<br />Title: Hebrews 1<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2008/1005-Heb1.mp3">Download</a></span><br />Main Passage: Hebrews 1<br />Preached by: Pastor Ken<br />|2008-10-05 06:00:00|2011-02-18 05:17:00
9-28-08 Heb 1|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2008/0928-Heb1.mp3{/s5_mp3}<br />Title: Hebrews 1<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2008/0928-Heb1.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Hebrews 1<br />Preached by: Pastor Ken<br />|2008-09-28 06:00:00|2011-02-18 05:18:45
2-20-11 Treasure|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0220-Matt13.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0220-Matt13.mp3">Download</a><br />Title: Treasure<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Matthew 13<br />Preached by: Pastor Ken<br /></span>|2011-02-20 06:00:00|2011-02-20 22:38:16
2-27-11 Wholeheartedly Loving God - Part II|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0227-Matt22.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0227-Matt22.mp3" target="_blank">Download</a><br />Title: Wholeheartedly Loving God - Part II<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Matthew 22<br />Preached by: Pastor Jim Lancaster<br /></span>|2011-02-27 06:00:00|2011-03-13 03:27:04
3-6-11 Dragnet|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0306-Matt13.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0306-Matt13.mp3" target="_blank">Download</a><br />Title: Dragnet<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Matthew 13<br />Preached by: Pastor Ken<br /></span>|2011-03-06 06:00:00|2011-03-06 19:42:51
3-13-11 Old and New Treasure|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0313-Matt13.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0313-Matt13.mp3" target="_blank">Download</a><br />Title: Old and New Treasure<br /><span style="font-family: georgia, 'times new roman', times, serif; ">Main passage: Matthew 13<br />Preached by: Pastor Ken<br /></span>|2011-03-13 06:00:00|2011-03-14 01:15:03
3-20-11 Offended|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0320-Matt13.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0320-Matt13.mp3" target="_blank">Download</a><br />Title: Offended<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 13<br />Preached by: Pastor Ken<br /></span>|2011-03-20 06:00:00|2011-03-21 01:54:18
3-27-11 Offended - Part II|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0327-Matt13.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0327-Matt13.mp3">Download</a><br />Title: Offended - Part II<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 13<br />Preached by: Pastor Ken<br /></span>|2011-03-27 06:00:00|2011-03-27 18:07:44
4-3-11 Offended - Part III|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0403-Matt14.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0403-Matt14.mp3" target="_blank">Download</a><br />Title: Offended - Part III<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 14<br />Preached by: Pastor Ken<br /></span>|2011-04-03 06:00:00|2011-04-04 02:12:18
4-10-11 Feed Them|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0410-Matt14.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0410-Matt14.mp3">Download</a><br />Title: Feed Them<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 14<br />Preached by: Pastor Ken<br /></span>|2011-04-10 06:00:00|2011-04-10 17:58:18
4-17-11 Lord Save Me|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0417-Matt14.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0417-Matt14.mp3">Download</a><br />Title: Lord Save Me<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 14<br />Preached by: Pastor Ken<br /></span>|2011-04-17 06:00:00|2011-04-17 18:06:55
4-24-11 Lord|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0424-Matt14.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0424-Matt14.mp3">Download</a><br />Title: Lord<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 14<br />Preached by: Pastor Ken<br /></span>|2011-04-24 06:00:00|2011-04-25 00:04:14
5-1-11 Your lips say Lord, but how's your heart|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0501-Matt15.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0501-Matt15.mp3">Download</a><br />Title: Your lips say Lord, but how's your heart<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 15<br />Preached by: Pastor Ken<br /></span>|2011-05-01 06:00:00|2011-05-08 23:16:17
5-8-11 Proskuneo - Puppy Dog Faith|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0508-Matt15.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0508-Matt15.mp3" target="_blank">Download</a><br />Title: Proskuneo - Puppy Dog Faith<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 15<br />Preached by: Pastor Ken<br /></span>|2011-05-08 06:00:00|2011-05-08 23:14:13
5-15-11 Bring The Lame To Jesus|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0515-Matt15.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0515-Matt15.mp3" target="_blank">Download</a><br />Title: Bring The Lame To Jesus<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 15<br />Preached by: Pastor Ken<br /></span>|2011-05-15 06:00:00|2011-05-16 00:49:12
5-22-11 People Get Ready|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0522-Matt24.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0522-Matt24.mp3" target="_blank">Download</a><br />Title: People Get Ready<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 24<br />Preached by: Pastor Ken<br /></span>|2011-05-22 06:00:00|2011-05-22 19:32:43
5-29-11 Farewell To Ephesus|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0529-Acts20.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0529-Acts20.mp3" target="_blank">Download</a><br />Title: Farewell To Ephesus<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Acts 20:17 - 38<br />Preached by: Pastor Jim Lancaster<br /></span>|2011-05-29 06:00:00|2011-05-29 23:09:35
6-5-11 Be Diligent In Your Faith|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0604-2Peter1.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0604-2Peter1.mp3">Download</a><br />Title: Be Diligent In Your Faith<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: 2Peter1:1-11<br />Preached by: Pastor Ken Davis<br /></span>|2011-06-04 06:00:00|2011-06-13 00:43:13
6-12-11 Beware of Hypocrisy|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0612-Matt16.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0612-Matt16.mp3" target="_blank">Download</a><br />Title: Beware of Hypocrisy<br /><span style="font-family: georgia, 'times new roman', times, serif; ">Main passage: Matt 16<br />Preached by: Pastor Ken Davis<br /></span>|2011-06-12 06:00:00|2011-06-16 04:15:18
6-19-11 The Most Important Question|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0619-Matt16.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0619-Matt16.mp3">Download</a><br />Title: The Most Important Question<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 16<br />Preached by: Pastor Ken Davis<br /></span>|2011-06-19 06:00:00|2011-06-19 18:12:07
6-22-11 The Sudan|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0622-WesBentley.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0622-WesBentley.mp3" target="_blank">Download</a><br />Title: The Sudan (Warning: this message may not be fit for young children)<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Daniel 6<br />Preached by: Chaplain Wes Bentley<br /></span>|2011-06-22 06:00:00|2011-07-03 21:07:32
6-26-11 Transfiguration|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0626-Matt17.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0626-Matt17.mp3">Download</a><br />Title: Transfiguration<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 17<br />Preached by: Pastor Ken Davis<br /></span>|2011-06-26 06:00:00|2011-07-03 21:05:34
7-3-11 Mustard Seed of Faith|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0703-Matt17.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0703-Matt17.mp3">Download</a><br />Title: Mustard Seed of Faith<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 17<br />Preached by: Pastor Ken Davis<br /></span>|2011-07-03 06:00:00|2011-07-03 21:16:09
7-17-11 Who is the Greatest?|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0717-Matt18.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0717-Matt18.mp3">Download</a><br />Title: Who is the Greatest?<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 18<br />Preached by: Pastor Ken Davis<br /></span>|2011-07-17 06:00:00|2011-07-17 20:45:09
7-24-11 Humility and Reconciliation|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0724-Matt18.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0724-Matt18.mp3">Download</a><br />Title: Humility and Reconciliation<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 18<br />Preached by: Pastor Ken Davis<br /></span>|2011-07-24 06:00:00|2011-07-24 22:14:46
7-31-11 The Least Of These|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0731-Mark9.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0731-Mark9.mp3" target="_blank">Download</a><br />Title: The Least Of These<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Mark 9, 10<br />Preached by: GFA<br /></span>|2011-07-31 06:00:00|2011-07-31 22:33:59
8-7-11 What God Has Joined Together|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0807-Matt19.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0807-Matt19.mp3">Download</a><br />Title: What God Has Joined Together<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 19<br />Preached by: Pastor Ken Davis<br /></span>|2011-08-07 06:00:00|2011-08-07 22:09:52
8-14-11 Childlike Faith|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0814-Matt19.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0814-Matt19.mp3">Download</a><br />Title: Childlike Faith<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 19<br />Preached by: Pastor Ken Davis<br /></span>|2011-08-14 06:00:00|2011-08-14 21:32:31
8-21-11 Not Perfect|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0821-Matt19.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0821-Matt19.mp3">Download</a><br />Title: Not Perfect<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 19<br />Preached by: Pastor Ken Davis<br /></span>|2011-08-21 06:00:00|2011-08-21 22:13:01
8-28-11 You are not your own|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0828-Matt19.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/0828-Matt19.mp3" target="_blank">Download</a><br />Title: Your Are Not Your Own<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 19<br />Preached by: Pastor Ken Davis<br /></span>|2011-08-28 06:00:00|2011-08-28 21:28:06
9-04-11 Time To Awake!|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0904-Matt19.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0904-Matt19.mp3">Download</a><br />Title: Time To Awake!<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 19<br />Preached by: Pastor Ken Davis<br /></span>|2011-09-04 06:00:00|2011-09-04 20:50:34
9-11-11 Sovereign God|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0911-Psalm56.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0911-Psalm56.mp3">Download</a><br />Title: Sovereign God<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Psalm 56<br />Preached by: Pastor Ken Davis<br /></span>|2011-09-11 06:00:00|2011-09-11 21:47:34
9-18-11 RSVP|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0918-Matt20.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0918-Matt20.mp3">Download</a><br />Title: RSVP<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 20<br />Preached by: Pastor Ken Davis<br /></span>|2011-09-18 06:00:00|2011-09-18 20:14:37
9-25-11 Here am I - Send Me|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/0925-1Kings17.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/0925-1Kings17.mp3">Download</a><br />Title: Here am I, Send Me<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: 1 Kings 17<br />Preached by: Dr. Keith Burnett - Rivers Of the World<br /></span>|2011-09-25 06:00:00|2011-09-25 20:28:40
10-02-11 Lukewarm|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1002-Matt20.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1002-Matt20.mp3">Download</a><br />Title: Lukewarm<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 20<br />Preached by: Pastor Ken Davis<br /></span>|2011-10-02 06:00:00|2011-10-02 23:04:33
10-09-11 Hosanna To The King|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1009-Matt21.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1009-Matt21.mp3">Download</a><br />Title: Hosanna To The King<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 21<br />Preached by: Pastor Ken Davis<br /></span>|2011-10-09 06:00:00|2011-10-09 20:45:50
10-16-11 My Father's House|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1016-Matt21.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1016-Matt21.mp3">Download</a><br />Title: My Father's House<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 21<br />Preached by: Pastor Ken Davis<br /></span>|2011-10-16 06:00:00|2011-10-16 19:36:13
10-23-11 No Fruit?|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1023-Matt21.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1023-Matt21.mp3">Download</a><br />Title: No Fruit?<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 21<br />Preached by: Pastor Ken Davis<br /></span>|2011-10-23 06:00:00|2011-10-23 18:09:10
10-30-11 The Wedding Feast|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1030-Matt22.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1030-Matt22.mp3">Download</a><br />Title: The Wedding Feast<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 22<br />Preached by: Pastor Ken Davis<br /></span>|2011-10-30 06:00:00|2011-10-30 20:36:49
11-06-11 A Really Good Answer|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1106-Matt22.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/1106-Matt22.mp3" target="_blank">Download</a><br />Title: A Really Good Answer<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 22<br />Preached by: Pastor Ken Davis<br /></span>|2011-11-06 06:00:00|2011-11-06 20:00:55
11-13-11 Heavenly "Marriage"|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1113-Matt22.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/1113-Matt22.mp3" target="_blank">Download</a><br />Title: Heavenly &quot;Marriage&quot;<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 22<br />Preached by: Pastor Ken Davis<br /></span>|2011-11-13 06:00:00|2011-12-04 23:00:21
11-20-11 The Great Commandment|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1120-Matt22.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2011/1120-Matt22.mp3" target="_blank">Download</a><br />Title: The Great Commandment<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 22<br />Preached by: Pastor Ken Davis<br /></span>|2011-11-20 06:00:00|2011-11-20 21:11:16
11-27-11 Who's Son Is He|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1127-Matt22.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1127-Matt22.mp3">Download</a><br />Title: Who's Son Is He?<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 22<br />Preached by: Pastor Ken Davis<br /></span>|2011-11-27 06:00:00|2011-12-04 22:59:04
12-4-11 Servant-Leader|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1204-Matt23.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1204-Matt23.mp3">Download</a><br />Title: Servant Leader<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 23<br />Preached by: Pastor Ken Davis<br /></span>|2011-12-04 06:00:00|2011-12-04 23:03:54
12-11-11 Woes and Warnings|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1211-Matt23.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1211-Matt23.mp3">Download</a><br />Title: Woes and Warnings<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 23<br />Preached by: Pastor Ken Davis<br /></span>|2011-12-11 06:00:00|2011-12-11 20:19:20
12-18-11 This World Is Temporal|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1218-Matt24.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1218-Matt24.mp3">Download</a><br />Title: This World is Temporal<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matthew 24 &amp; 2 Peter 3<br />Preached by: Pastor Ken Davis<br /></span>|2011-12-18 06:00:00|2011-12-20 01:21:19
12-25-11 A Birth Annoucement, A Baby shower...|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2011/1225-Luke1.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2011/1225-Luke1.mp3">Download</a><br />Title: A Birth Announcement, A Baby Shower, And A Gift That Keeps On Giving<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Luke 1, 2<br />Preached by: Pastor Ken Davis<br /></span>|2011-12-25 06:00:00|2011-12-25 21:55:08
1-1-12 The End Will Come|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2012/0101-Matt24.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2012/0101-Matt24.mp3">Download</a><br />Title: The End Will Come<br /><span style="font-family: georgia,'times new roman',times,serif;">Main passage: Matt 24<br />Preached by: Pastor Ken Davis<br /></span>|2012-01-01 06:00:00|2012-01-08 22:49:17
